Date,Close/Last,Volume,Open,High,Low
07/25/2025,$213.88,38758250,$214.70,$215.24,$213.40
07/24/2025,$213.76,46022620,$213.90,$215.69,$213.53
07/23/2025,$214.15,46989300,$215.00,$215.15,$212.41
07/22/2025,$214.40,46404070,$213.14,$214.95,$212.2301
07/21/2025,$212.48,51377430,$212.10,$215.78,$211.63
07/18/2025,$211.18,48974590,$210.87,$211.79,$209.7045
07/17/2025,$210.02,48068140,$210.57,$211.80,$209.59
07/16/2025,$210.16,47490530,$210.295,$212.40,$208.64
07/15/2025,$209.11,42296340,$209.22,$211.89,$208.92
07/14/2025,$208.62,38840110,$209.925,$210.91,$207.54
07/11/2025,$211.16,39765810,$210.565,$212.13,$209.86
07/10/2025,$212.41,44443640,$210.505,$213.48,$210.03
07/09/2025,$211.14,48749370,$209.53,$211.33,$207.22
07/08/2025,$210.01,42848930,$210.10,$211.43,$208.45
07/07/2025,$209.95,50228980,$212.68,$216.23,$208.80
07/03/2025,$213.55,34955840,$212.145,$214.65,$211.8101
07/02/2025,$212.44,67941810,$208.91,$213.34,$208.14
07/01/2025,$207.82,78788870,$206.665,$210.1865,$206.1401
06/30/2025,$205.17,91912820,$202.01,$207.39,$199.2607
06/27/2025,$201.08,73188570,$201.89,$203.22,$200.00
06/26/2025,$201.00,50799120,$201.43,$202.64,$199.46
06/25/2025,$201.56,39525730,$201.45,$203.67,$200.6201
06/24/2025,$200.30,54064030,$202.59,$203.44,$200.20
06/23/2025,$201.50,55814270,$201.625,$202.30,$198.96
06/20/2025,$201.00,96813540,$198.235,$201.70,$196.855
06/18/2025,$196.58,45394690,$195.94,$197.57,$195.07
06/17/2025,$195.64,38856150,$197.20,$198.39,$195.21
06/16/2025,$198.42,43020690,$197.30,$198.685,$196.5636
06/13/2025,$196.45,51447350,$199.73,$200.37,$195.70
06/12/2025,$199.20,43904640,$199.08,$199.68,$197.3601
06/11/2025,$198.78,60989860,$203.50,$204.50,$198.41
06/10/2025,$202.67,54672610,$200.60,$204.35,$200.57
06/09/2025,$201.45,72862560,$204.39,$206.00,$200.02
06/06/2025,$203.92,46607690,$203.00,$205.70,$202.05
06/05/2025,$200.63,55221240,$203.50,$204.75,$200.15
06/04/2025,$202.82,43603990,$202.91,$206.24,$202.10
06/03/2025,$203.27,46381570,$201.35,$203.77,$200.955
06/02/2025,$201.70,35423290,$200.28,$202.13,$200.12
05/30/2025,$200.85,70819940,$199.37,$201.96,$196.78
05/29/2025,$199.95,51477940,$203.575,$203.81,$198.51
05/28/2025,$200.42,45339680,$200.59,$202.73,$199.90
05/27/2025,$200.21,56288480,$198.30,$200.74,$197.43
05/23/2025,$195.27,78432920,$193.665,$197.70,$193.46
05/22/2025,$201.36,46742410,$200.71,$202.75,$199.70
05/21/2025,$202.09,59211770,$205.17,$207.04,$200.71
05/20/2025,$206.86,42496640,$207.67,$208.47,$205.03
05/19/2025,$208.78,46140530,$207.91,$209.48,$204.26
05/16/2025,$211.26,54737850,$212.36,$212.57,$209.77
05/15/2025,$211.45,45029470,$210.95,$212.96,$209.54
