"Date","Open","High","Low","Close","Volume"
"07/25/2025","232.22","232.48","231.18","231.44","28,640,980"
"07/24/2025","229.17","236","228.64","232.23","42,902,270"
"07/23/2025","228.47","228.79","227.09","228.29","28,294,850"
"07/22/2025","229.68","230","226.35","227.47","37,483,700"
"07/21/2025","225.835","229.69","225.65","229.3","40,297,560"
"07/18/2025","225.14","226.4","222.98","226.13","37,833,810"
"07/17/2025","223.32","224.5","222.51","223.88","31,855,830"
"07/16/2025","225.875","226.1","222.18","223.19","39,535,930"
"07/15/2025","226.2","227.27","225.455","226.35","34,907,290"
"07/14/2025","225.07","226.66","224.24","225.69","35,702,600"
"07/11/2025","223.58","226.6799","222.37","225.02","50,518,310"
"07/10/2025","221.55","222.79","219.7","222.26","30,370,590"
"07/09/2025","221.07","224.29","220.47","222.54","38,155,120"
"07/08/2025","223.915","224","218.43","219.36","45,691,990"
"07/07/2025","223","224.29","222.37","223.47","36,604,140"
"07/03/2025","221.82","224.01","221.36","223.41","29,632,350"
"07/02/2025","219.73","221.6","219.06","219.92","30,894,180"
"07/01/2025","219.5","221.875","217.93","220.46","39,256,830"
"06/30/2025","223.52","223.82","219.12","219.39","58,887,780"
"06/27/2025","219.92","223.3","216.74","223.3","119,217,100"
"06/26/2025","213.12","218.035","212.01","217.12","50,480,810"
"06/25/2025","214.615","216.03","211.11","211.99","31,755,700"
"06/24/2025","212.135","214.34","211.045","212.77","38,378,760"
"06/23/2025","209.79","210.39","207.3101","208.47","37,311,730"
"06/20/2025","214.68","214.89","208.2709","209.69","75,350,730"
"06/18/2025","215.09","217.96","212.34","212.52","44,360,510"
"06/17/2025","215.195","217.41","214.56","214.82","32,086,260"
"06/16/2025","212.31","217.06","211.6","216.1","33,284,160"
"06/13/2025","209.96","214.05","209.62","212.1","29,337,760"
"06/12/2025","211.78","213.58","211.33","213.24","27,639,990"
"06/11/2025","217.41","218.4","212.89","213.2","39,325,980"
"06/10/2025","216.78","217.69","214.15","217.61","31,303,320"
"06/09/2025","214.75","217.85","212.88","216.98","38,102,500"
"06/06/2025","212.4","213.8699","210.5","213.57","39,832,500"
"06/05/2025","209.55","212.81","207.56","207.91","51,979,240"
"06/04/2025","206.55","208.18","205.18","207.23","29,915,590"
"06/03/2025","207.105","208.9469","205.03","205.71","33,139,120"
"06/02/2025","204.98","207","202.68","206.65","29,113,320"
"05/30/2025","204.84","205.99","201.695","205.01","51,679,410"
"05/29/2025","208.025","208.81","204.23","205.7","34,700,010"
"05/28/2025","205.915","207.66","204.41","204.72","28,549,750"
"05/27/2025","203.085","206.69","202.19","206.02","34,892,040"
"05/23/2025","198.9","202.37","197.85","200.99","33,393,550"
"05/22/2025","201.38","205.76","200.16","203.1","38,938,880"
"05/21/2025","201.61","203.455","200.06","201.12","42,460,920"
"05/20/2025","204.628","205.5899","202.65","204.07","29,470,370"
"05/19/2025","201.645","206.62","201.26","206.16","34,314,810"
"05/16/2025","206.85","206.85","204.374","205.59","43,318,480"
"05/15/2025","206.45","206.88","202.673","205.17","64,347,320"
"05/14/2025","211.45","211.93","208.85","210.25","38,492,130"
"05/13/2025","211.08","214.84","210.1","211.37","56,193,680"
"05/12/2025","210.71","211.66","205.75","208.64","75,205,040"
"05/09/2025","193.375","194.69","191.16","193.06","29,663,140"
"05/08/2025","191.43","194.33","188.82","192.08","41,043,620"
"05/07/2025","185.56","190.99","185.01","188.71","44,002,930"
"05/06/2025","184.57","187.93","183.85","185.01","29,314,060"
"05/05/2025","186.51","188.18","185.53","186.35","35,217,470"
"05/02/2025","191.435","192.88","186.4","189.98","77,903,490"
"05/01/2025","190.63","191.8071","187.5","190.2","74,265,960"
"04/30/2025","182.17","185.05","178.85","184.42","55,176,540"
"04/29/2025","183.99","188.0158","183.68","187.39","41,667,260"
"04/28/2025","190.105","190.22","184.885","187.7","33,224,730"
"04/25/2025","187.62","189.94","185.49","188.99","36,414,330"
"04/24/2025","180.915","186.74","180.18","186.54","43,763,200"
"04/23/2025","183.45","187.38","180.19","180.6","63,470,150"
"04/22/2025","169.845","176.78","169.35","173.18","56,607,200"
"04/21/2025","169.6","169.6","165.285","167.32","48,126,110"
