"Date","Open","High","Low","Close","Volume"
"07/25/2025","191.98","194.33","191.26","193.18","39,701,610"
"07/24/2025","197.03","197.95","191","192.17","74,881,690"
"07/23/2025","191.5","192.53","189.18","190.23","58,681,950"
"07/22/2025","191.495","191.645","187.46","191.34","44,660,220"
"07/21/2025","186.25","190.285","186.15","190.1","45,803,130"
"07/18/2025","185.4","186.42","183.71","185.06","34,014,510"
"07/17/2025","182.14","184.06","180.48","183.58","31,992,570"
"07/16/2025","183.235","184.327","182.03","182.97","33,104,190"
"07/15/2025","182.81","184.22","181.6","182","33,448,250"
"07/14/2025","181.01","183.67","179.68","181.56","32,536,630"
"07/11/2025","176.785","181.43","176.48","180.19","34,282,920"
"07/10/2025","175.63","178.429","174.38","177.62","29,252,390"
"07/09/2025","175.25","179.44","172.77","176.62","43,025,590"
"07/08/2025","177.85","177.95","172.81","174.36","40,442,540"
"07/07/2025","179.06","179.297","175.68","176.79","34,175,650"
"07/03/2025","178.5","179.67","177.05","179.53","21,689,730"
"07/02/2025","175.54","178.86","175.07","178.64","29,128,950"
"07/01/2025","175.735","176.09","173.53","175.84","35,904,530"
"06/30/2025","180.78","181.23","174.58","176.23","63,378,860"
"06/27/2025","173.54","178.68","171.73","178.53","108,140,200"
"06/26/2025","172.43","173.69","169.94","173.54","31,796,690"
"06/25/2025","167.63","172.36","167.55","170.68","35,478,990"
"06/24/2025","166.92","168.22","166.13","166.77","40,524,310"
"06/23/2025","166.27","167.34","162","165.19","57,670,990"
"06/20/2025","173.945","174.34","165.46","166.64","75,659,920"
"06/18/2025","176.01","176.56","173.2","173.32","28,707,520"
"06/17/2025","175.7","177.3648","174.58","175.95","24,973,040"
"06/16/2025","174.73","176.94","174.65","176.77","27,389,210"
"06/13/2025","172.44","177.13","172.385","174.67","27,663,110"
"06/12/2025","176.18","176.72","174.745","175.7","20,941,870"
"06/11/2025","179.77","180.37","176.75","177.35","31,646,760"
"06/10/2025","176.2","181.105","174.91","178.6","61,766,120"
"06/09/2025","174.54","176.47","174.37","176.09","28,935,910"
"06/06/2025","170.83","174.5","170.83","173.68","35,731,830"
"06/05/2025","170.34","170.93","167.59","168.21","36,444,560"
"06/04/2025","166.735","168.215","166.36","168.05","26,900,840"
"06/03/2025","167.49","168.475","165.28","166.18","45,084,900"
"06/02/2025","167.84","169.87","167.39","169.03","38,612,270"
"05/30/2025","171.35","172.205","167.44","171.74","52,639,910"
"05/29/2025","174","174.4193","170.63","171.86","29,373,800"
"05/28/2025","173.16","175.265","171.9107","172.36","34,784,000"
"05/27/2025","170.16","173.17","170","172.9","37,995,670"
"05/23/2025","169.055","169.96","167.89","168.47","35,211,440"
"05/22/2025","171.85","176.77","170.71","170.87","74,864,420"
"05/21/2025","163.69","173.14","163.56","168.56","73,415,960"
"05/20/2025","166.43","168.5","162.9","163.98","46,607,660"
"05/19/2025","164.51","166.64","164.22","166.54","30,426,100"
"05/16/2025","167.725","169.35","165.62","166.19","42,846,930"
"05/15/2025","165.84","166.205","162.3732","163.96","33,146,670"
"05/14/2025","159.96","167","159.61","165.37","48,755,870"
"05/13/2025","158.79","160.57","156.16","159.53","42,382,130"
"05/12/2025","157.485","159.1","156.25","158.46","44,138,820"
"05/09/2025","154.17","155.05","152.2","152.75","32,435,280"
"05/08/2025","155","155.93","152.9","154.28","57,498,690"
"05/07/2025","164.08","165","147.84","151.38","127,747,600"
"05/06/2025","162.17","164.8","161.19","163.23","21,277,210"
"05/05/2025","163","165.39","162.72","164.21","21,341,810"
"05/02/2025","163.405","164.97","161.87","164.03","25,715,010"
"05/01/2025","160.45","161.95","158.91","161.3","30,203,250"
"04/30/2025","157.975","159.27","155.4","158.8","34,981,060"
"04/29/2025","160.325","160.74","157.52","160.16","26,808,960"
"04/28/2025","162.425","163.15","158.6","160.61","29,745,780"
"04/25/2025","165.07","166.1","161.04","161.96","56,034,000"
"04/24/2025","156.15","159.59","155.79","159.28","45,893,950"
"04/23/2025","155.61","157.525","153.81","155.35","31,128,830"
"04/22/2025","148.89","152.19","148.54","151.47","26,971,770"
"04/21/2025","148.88","148.945","146.1","147.67","26,049,120"
"04/17/2025","154.29","154.68","148.5","151.16","33,046,580"
"04/16/2025","153.1","155.89","151.51","153.33","28,187,420"
"04/15/2025","159.125","159.65","155.21","156.31","27,551,530"
"04/14/2025","159.995","161.72","157.56","159.07","30,332,960"
"04/11/2025","152.9","157.67","152.82","157.14","33,636,240"
"04/10/2025","156.54","157.72","149.93","152.82","48,021,970"
"04/09/2025","144.415","159.55","143.905","158.71","70,406,230"
"04/08/2025","151.22","152.24","143.03","144.7","52,200,210"
"04/07/2025","141.55","152.85","140.53","146.75","76,794,140"
"04/04/2025","148.01","151.07","145.38","145.6","62,259,540"
"04/03/2025","151.11","152.7799","150.39","150.72","46,883,370"
"04/02/2025","155.15","158.4052","154.7","157.04","25,041,730"
"04/01/2025","153.62","158.1","153.62","157.07","30,672,900"
