"Date","Open","High","Low","Close","Volume"
"07/25/2025","716.915","720.6499","711.9","712.68","8,248,411"
"07/24/2025","717.05","723.6239","714","714.8","10,920,840"
"07/23/2025","706.365","714.6285","704.93","713.58","8,771,615"
"07/22/2025","716.19","716.6","701.41","704.81","8,921,064"
"07/21/2025","706.8","717","705.76","712.965","9,404,391"
"07/18/2025","702.19","704.71","691.65","704.28","12,779,750"
"07/17/2025","704.39","705.9","697.105","701.41","11,803,260"
"07/16/2025","713.37","713.97","699.2701","702.91","13,067,630"
"07/15/2025","723.9","724.4716","709.82","710.39","11,529,510"
"07/14/2025","717.6","728","716.547","720.92","8,939,399"
"07/11/2025","722.495","725.16","709.7","717.51","10,873,880"
"07/10/2025","731.55","735.7999","719.6","727.24","9,922,249"
"07/09/2025","722.715","737.53","722.715","732.78","11,417,960"
"07/08/2025","721.57","722.9099","714.81","720.67","7,770,693"
"07/07/2025","717.6","727","713.51","718.35","9,457,080"
"07/03/2025","726.61","729.03","714.42","719.01","8,601,653"
"07/02/2025","715.325","720.3","712.8","713.57","9,336,740"
"07/01/2025","736.875","737.7499","715.37","719.22","13,431,250"
"06/30/2025","744.55","747.9","734.25","738.09","15,402,110"
"06/27/2025","726.515","735.43","725.86","733.63","18,775,740"
"06/26/2025","714.355","728.22","711.05","726.09","13,964,790"
"06/25/2025","713.315","716.58","705.38","708.68","9,320,436"
"06/24/2025","704.885","713.19","702.11","712.2","13,823,180"
"06/23/2025","683.69","699.05","678.75","698.53","11,080,060"
"06/20/2025","700.75","701.8197","678.67","682.35","22,538,640"
"06/18/2025","698.18","701.59","694.9","695.77","10,068,260"
"06/17/2025","702","705.97","696.06","697.23","10,066,110"
"06/16/2025","699.33","707.15","693.5103","702.12","13,720,290"
"06/13/2025","687.95","694.57","681.01","682.87","9,274,441"
"06/12/2025","693.3","695.38","687","693.36","7,322,730"
"06/11/2025","703.705","708.8707","691.99","694.14","9,582,508"
"06/10/2025","701.345","703.23","691.56","702.4","10,850,150"
"06/09/2025","698.46","705.19","693.94","694.06","12,773,220"
"06/06/2025","696.17","702.806","691.87","697.71","11,727,960"
"06/05/2025","691.66","694.38","682.25","684.62","13,120,340"
"06/04/2025","669.32","689","668.57","687.95","14,031,930"
"06/03/2025","671.445","675.58","665.03","666.85","11,585,030"
"06/02/2025","644.39","673.26","644.2616","670.9","15,766,260"
"05/30/2025","642.5","649.4099","632.78","647.49","16,240,950"
"05/29/2025","651.645","653.32","639.5","645.05","8,883,436"
"05/28/2025","642.6","650.88","642.5472","643.58","9,042,874"
"05/27/2025","635.41","643.08","632.75","642.32","9,508,367"
"05/23/2025","624","632.445","622.65","627.06","8,454,067"
"05/22/2025","634.05","643.25","630.71","636.57","8,228,443"
"05/21/2025","631.79","646.61","630.17","635.5","11,464,570"
"05/20/2025","636.01","639.3536","632.26","637.1","6,743,473"
"05/19/2025","628.25","643","627.8","640.43","9,592,374"
"05/16/2025","637.955","640.44","626.15","640.34","18,518,970"
"05/15/2025","654.275","657.31","638.58","643.88","14,341,840"
"05/14/2025","661.21","662.67","654.31","659.36","12,348,180"
"05/13/2025","645.545","660.92","642.83","656.03","18,570,820"
"05/12/2025","630.92","640.3896","621.03","639.43","21,965,090"
"05/09/2025","603.72","606.97","591.7062","592.49","10,427,290"
"05/08/2025","606.285","611.2959","596.62","598.01","14,622,810"
"05/07/2025","590.36","603.075","586.67","596.81","13,160,980"
"05/06/2025","592.525","596.03","586.58","587.31","10,600,650"
"05/05/2025","591.22","603.21","588.05","599.27","13,887,720"
"05/02/2025","583.455","604.34","578.33","597.02","24,739,260"
"05/01/2025","592.075","592.95","570.5","572.21","31,159,030"
"04/30/2025","538.4","549.1","529.5","549","29,243,970"
"04/29/2025","546","556.5699","544.12","554.44","11,835,040"
"04/28/2025","555.64","558.4899","540.59","549.74","15,179,000"
"04/25/2025","546.8","549.86","536.25","547.27","17,098,920"
"04/24/2025","518.73","533.9","517.5","533.15","13,910,010"
"04/23/2025","528.525","535.3376","516.52","520.27","18,173,910"
"04/22/2025","491.87","506.88","486.36","500.28","17,399,410"
"04/21/2025","491.325","493.5","479.8","484.66","16,165,980"
"04/17/2025","505.25","507.3","498.0133","501.48","14,593,510"
"04/16/2025","508.51","513.37","495.63","502.31","18,735,080"
