"Date","Open","High","Low","Close","Volume"
"07/25/2025","512.465","518.29","510.3592","513.71","19,100,280"
"07/24/2025","508.77","513.67","507.3","510.88","16,107,000"
"07/23/2025","506.75","506.79","500.7","505.87","16,396,590"
"07/22/2025","510.97","511.2","505.27","505.27","13,868,640"
"07/21/2025","506.705","512.09","505.55","510.06","14,066,810"
"07/18/2025","514.48","514.64","507.43","510.05","21,209,670"
"07/17/2025","505.68","513.37","505.62","511.7","17,503,130"
"07/16/2025","505.18","506.72","501.89","505.62","15,154,370"
"07/15/2025","503.02","508.3","502.79","505.82","14,927,200"
"07/14/2025","501.515","503.97","501.03","503.02","12,058,850"
"07/11/2025","498.47","505.03","497.795","503.32","16,459,510"
"07/10/2025","503.05","504.44","497.75","501.48","16,498,740"
"07/09/2025","500.3","506.78","499.74","503.51","18,659,540"
"07/08/2025","497.24","498.2","494.11","496.62","11,846,590"
"07/07/2025","497.38","498.75","495.225","497.72","13,981,610"
"07/03/2025","493.81","500.13","493.44","498.84","13,984,830"
"07/02/2025","489.99","493.5","488.7","491.09","16,319,640"
"07/01/2025","496.47","498.05","490.98","492.05","19,945,380"
"06/30/2025","497.04","500.76","495.33","497.41","28,368,990"
"06/27/2025","497.55","499.3","493.03","495.94","34,539,240"
"06/26/2025","492.98","498.04","492.81","497.45","21,578,850"
"06/25/2025","492.04","494.5556","489.39","492.27","17,495,100"
"06/24/2025","488.95","491.849","486.795","490.11","22,305,640"
"06/23/2025","478.21","487.75","472.51","486","24,863,950"
"06/20/2025","482.23","483.46","476.87","477.4","37,576,210"
"06/18/2025","478","481","474.46","480.24","17,526,450"
"06/17/2025","475.395","478.7399","474.08","478.04","15,414,130"
"06/16/2025","475.21","480.6943","475","479.14","15,626,100"
"06/13/2025","476.41","479.18","472.76","474.96","16,814,460"
"06/12/2025","475.02","480.415","473.52","478.87","18,950,580"
"06/11/2025","470.02","475.47","469.655","472.62","16,399,180"
"06/10/2025","471.185","472.8","466.96","470.92","15,375,940"
"06/09/2025","469.7","473.43","468.62","472.75","16,469,930"
"06/06/2025","470.085","473.335","468.78","470.38","15,285,620"
"06/05/2025","464.955","469.65","464.03","467.68","20,154,460"
"06/04/2025","464","465.69","463.0201","463.87","14,162,690"
"06/03/2025","461.47","464.14","460.8622","462.97","15,743,760"
"06/02/2025","457.14","462.11","456.89","461.97","16,626,500"
"05/30/2025","459.715","461.68","455.54","460.36","34,770,480"
"05/29/2025","461.55","461.72","455.3105","458.68","13,982,210"
"05/28/2025","461.22","462.52","456.93","457.36","17,086,260"
"05/27/2025","456.48","460.95","456.115","460.69","20,974,290"
"05/23/2025","449.98","453.69","448.91","450.18","16,883,510"
"05/22/2025","454.95","460.25","453.9","454.86","18,025,610"
"05/21/2025","454.57","457.78","451.814","452.57","19,216,910"
"05/20/2025","455.59","458.34","454.3201","458.17","15,441,810"
"05/19/2025","450.875","459.585","450.8","458.87","21,336,510"
"05/16/2025","452.05","454.36","448.73","454.27","23,849,780"
"05/15/2025","450.765","456.19","450.4301","453.13","21,992,320"
"05/14/2025","448.14","453.9","448.14","452.94","19,902,800"
"05/13/2025","447.78","450.6733","445.36","449.14","23,618,820"
"05/12/2025","445.94","449.37","439.78","449.26","22,821,940"
"05/09/2025","440","440.74","435.88","438.73","15,324,230"
"05/08/2025","437.93","443.67","435.66","438.17","23,491,330"
"05/07/2025","433.84","438.12","431.1103","433.35","23,307,240"
"05/06/2025","432.2","437.73","431.17","433.31","15,104,200"
"05/05/2025","432.87","439.5","432.11","436.17","20,136,050"
"05/02/2025","431.74","439.44","429.985","435.28","30,757,430"
"05/01/2025","431.11","436.99","424.9","425.4","58,938,100"
"04/30/2025","390.3","396.66","384.44","395.26","36,461,080"
"04/29/2025","391.3","395.1","390.38","394.04","14,973,980"
"04/28/2025","391.955","392.74","386.638","391.16","16,579,430"
"04/25/2025","387","392.16","384.6","391.85","18,973,170"
"04/24/2025","375.695","388.45","375.19","387.3","22,232,290"
"04/23/2025","376.06","380.39","373.02","374.39","20,545,530"
"04/22/2025","363.375","367.77","359.8602","366.82","19,484,990"
"04/21/2025","362.815","364.48","355.67","359.12","20,807,280"
"04/17/2025","373.745","374.3215","366.89","367.78","21,120,190"
"04/16/2025","380.67","381.61","368","371.61","21,967,830"
"04/15/2025","388.505","391.89","384.1599","385.73","17,199,890"
"04/14/2025","393.22","394.65","384.21","387.81","19,251,170"
"04/11/2025","380.635","390.05","378.89","388.45","23,839,220"
"04/10/2025","382.06","383.9","367.8","381.35","38,024,370"
"04/09/2025","353.535","393.225","353.1","390.49","50,199,700"
"04/08/2025","368.255","373.65","350.25","354.56","35,868,920"
"04/07/2025","350.88","370.9999","344.79","357.86","50,425,000"
"04/04/2025","364.125","374.59","359.48","359.84","49,209,850"
"04/03/2025","374.785","377.48","369.35","373.11","30,198,000"
"04/02/2025","377.965","385.08","376.62","382.14","16,092,560"
"04/01/2025","374.65","382.85","373.23","382.19","19,689,500"
"03/31/2025","372.535","377.07","367.24","375.39","35,184,680"
"03/28/2025","388.08","389.13","376.93","378.8","21,632,020"
"03/27/2025","390.13","392.24","387.395","390.58","13,766,760"
"03/26/2025","395","395.31","388.57","389.97","16,132,910"
"03/25/2025","393.915","396.36","392.64","395.16","15,774,970"
"03/24/2025","395.4","395.4","389.81","393.08","21,004,550"
"03/21/2025","383.215","391.74","382.8","391.26","39,675,930"
"03/20/2025","385.735","391.785","383.28","386.84","18,470,540"
"03/19/2025","385.525","389.68","384","387.82","19,185,530"
"03/18/2025","387.07","387.37","381.1","383.52","19,486,850"
"03/17/2025","386.7","392.705","385.57","388.7","22,474,270"
"03/14/2025","379.775","390.23","379.51","388.56","19,952,850"
"03/13/2025","383.155","385.32","377.45","378.77","20,473,020"
"03/12/2025","382.95","385.2165","378.9507","383.27","24,253,570"
"03/11/2025","379","386","376.91","380.45","30,380,180"
"03/10/2025","385.84","386.4","377.22","380.16","32,840,130"
"03/07/2025","392.32","394.8","385.54","393.31","22,034,090"
"03/06/2025","394.28","402.15","392.6777","396.89","23,304,630"
"03/05/2025","389.34","401.67","388.81","401.02","23,433,130"
"03/04/2025","383.4","392.58","381","388.61","29,342,920"
"03/03/2025","398.82","398.82","386.155","388.49","23,007,730"
"02/28/2025","392.655","397.63","386.57","396.99","32,845,660"
"02/27/2025","401.265","405.74","392.17","392.53","21,127,410"
"02/26/2025","398.01","403.6","394.245","399.73","19,618,950"
"02/25/2025","401.1","401.915","396.7","397.9","29,387,400"
"02/24/2025","408.51","409.37","399.32","404","26,443,660"
"02/21/2025","417.335","418.048","407.89","408.21","27,524,800"
"02/20/2025","415.29","419.31","412.54","416.13","23,508,730"
"02/19/2025","407.88","415.49","407.65","414.77","24,114,200"
"02/18/2025","408","410.597","406.5","409.64","21,423,050"
"02/14/2025","407.79","408.91","405.88","408.43","22,758,460"
"02/13/2025","407","411","406.36","410.54","23,891,730"
"02/12/2025","407.21","410.75","404.3673","409.04","19,121,730"
"02/11/2025","409.64","412.49","409.3","411.44","18,140,590"
"02/10/2025","413.71","415.4624","410.92","412.22","20,817,920"
"02/07/2025","416.48","418.65","408.1","409.75","22,886,840"
"02/06/2025","414","418.2","414","415.82","16,309,760"
"02/05/2025","412.35","413.827","410.4","413.29","16,336,190"
"02/04/2025","412.685","413.9199","409.74","412.37","20,532,100"
"02/03/2025","411.6","415.41","408.66","410.92","25,679,150"
"01/31/2025","418.98","420.69","414.91","415.06","34,223,390"
"01/30/2025","418.77","422.86","413.16","414.99","54,586,260"
"01/29/2025","446.69","446.88","440.4","442.33","23,581,370"
"01/28/2025","434.6","448.38","431.38","447.2","23,491,700"
