"Date","Open","High","Low","Close","Volume"
"07/25/2025","1178.415","1187.32","1174.3825","1180.49","2,624,113"
"07/24/2025","1177.8","1183.5","1162.6601","1180.76","3,845,570"
"07/23/2025","1189.81","1192.6194","1173.6","1176.78","4,504,264"
"07/22/2025","1230.38","1232.37","1187.5","1190.08","5,062,970"
"07/21/2025","1206","1237.1","1198","1233.27","5,627,591"
"07/18/2025","1241.96","1246.5","1201.01","1209.24","10,693,310"
"07/17/2025","1253","1277.5","1244.8004","1274.17","6,469,877"
"07/16/2025","1261.71","1271","1249.82","1250.31","3,227,022"
"07/15/2025","1262","1271.22","1243.245","1260.27","2,801,731"
"07/14/2025","1244.91","1270.49","1240","1261.95","2,781,048"
"07/11/2025","1259.786","1261","1231.3","1245.11","3,957,150"
"07/10/2025","1285.5","1289.5999","1246.01","1250.59","4,236,494"
"07/09/2025","1273.99","1288.29","1266.24","1288.28","2,384,477"
"07/08/2025","1290.9","1293.25","1260","1275.31","3,292,525"
"07/07/2025","1295","1295","1276.02","1289.62","2,273,737"
"07/03/2025","1292","1302.26","1279.76","1297.18","2,006,224"
"07/02/2025","1296.96","1299.9499","1271.59","1284.86","3,048,801"
"07/01/2025","1338.23","1338.7743","1282.22","1293.6","4,993,567"
"06/30/2025","1331","1341.15","1321.21","1339.13","3,282,908"
"06/27/2025","1306.88","1331.345","1301","1323.12","4,070,857"
"06/26/2025","1280","1307.34","1280","1306.67","2,605,870"
"06/25/2025","1286.84","1297.9999","1273.81","1275.25","2,146,510"
"06/24/2025","1260.545","1282.571","1255","1279.11","2,663,307"
"06/23/2025","1238.025","1254.84","1215.01","1253.54","2,667,318"
"06/20/2025","1234.45","1248.4999","1224.349","1231.41","5,348,193"
"06/18/2025","1229.99","1241.9999","1220.5","1222.29","2,281,047"
"06/17/2025","1219.95","1232.3569","1216.09","1220.67","1,892,126"
"06/16/2025","1212.2","1226.25","1212.2","1225.35","2,112,797"
"06/13/2025","1206.59","1220.62","1201.89","1212.15","2,210,253"
"06/12/2025","1222.59","1230","1211.965","1215.03","2,084,602"
"06/11/2025","1202.6","1228.29","1196.0101","1219.88","2,382,280"
"06/10/2025","1227.52","1227.52","1180.61","1203.62","4,454,447"
