"Date","Open","High","Low","Close","Volume"
"07/25/2025","308.74","323.63","308.01","316.06","147,287,900"
"07/24/2025","310","310.15","300.41","305.3","156,966,000"
"07/23/2025","330.9","336.2","328.67","332.56","92,553,760"
"07/22/2025","329.74","335.4098","321.55","332.11","77,370,370"
"07/21/2025","334.4","338","326.88","328.49","75,768,800"
"07/18/2025","321.66","330.9","321.42","329.65","94,254,990"
"07/17/2025","323.15","324.34","317.0601","319.41","73,922,870"
"07/16/2025","312.8","323.5","312.62","321.67","97,284,790"
"07/15/2025","319.675","321.2","310.5","310.78","77,556,350"
"07/14/2025","317.73","322.5986","312.67","316.9","78,043,430"
"07/11/2025","307.89","314.09","305.65","313.51","79,236,440"
"07/10/2025","300.05","310.48","300","309.87","104,365,300"
"07/09/2025","297.55","300.15","293.55","295.88","75,586,770"
"07/08/2025","297","304.0499","294.35","297.81","103,246,700"
"07/07/2025","291.37","296.15","288.7701","293.94","131,177,900"
"07/03/2025","317.99","318.45","312.76","315.35","58,042,300"
"07/02/2025","312.63","316.832","303.82","315.65","119,483,700"
"07/01/2025","298.46","305.89","293.21","300.71","145,085,700"
"06/30/2025","319.9","325.5799","316.6","317.66","76,695,080"
"06/27/2025","324.51","329.3393","317.495","323.63","89,067,050"
"06/26/2025","324.61","331.05","323.61","325.78","80,440,910"
"06/25/2025","342.7","343","320.4","327.55","119,845,100"
"06/24/2025","356.17","356.26","340.44","340.47","114,736,200"
"06/23/2025","327.54","357.54","327.48","348.68","190,716,800"
"06/20/2025","327.95","332.36","317.78","322.16","108,688,000"
"06/18/2025","317.31","329.32","315.45","322.05","95,137,690"
"06/17/2025","326.09","327.26","314.74","316.35","88,282,670"
"06/16/2025","331.29","332.05","326.41","329.13","83,925,860"
"06/13/2025","313.97","332.99","313.3","325.31","128,964,300"
"06/12/2025","323.075","332.56","316.86","319.11","105,127,500"
"06/11/2025","334.395","335.5","322.5","326.43","122,611,400"
"06/10/2025","314.94","327.83","310.667","326.09","151,256,500"
"06/09/2025","285.955","309.83","281.85","308.58","140,908,900"
"06/06/2025","298.83","305.5","291.14","295.14","164,747,700"
"06/05/2025","322.49","324.5499","273.21","284.7","292,818,700"
"06/04/2025","345.095","345.6","327.3308","332.05","98,912,080"
"06/03/2025","346.595","355.4","343.04","344.27","99,324,540"
"06/02/2025","343.5","348.02","333.33","342.69","81,873,830"
"05/30/2025","355.52","363.68","345.29","346.46","123,474,900"
"05/29/2025","365.29","367.71","356","358.43","88,545,670"
"05/28/2025","364.84","365","355.91","356.9","91,404,310"
"05/27/2025","347.35","363.79","347.32","362.89","120,146,400"
"05/23/2025","337.92","343.18","333.21","339.34","84,654,820"
"05/22/2025","331.9","347.27","331.39","341.04","97,113,420"
"05/21/2025","344.43","347.35","332.2","334.62","102,354,800"
"05/20/2025","347.87","354.9899","341.63","343.82","131,715,500"
"05/19/2025","336.3","343","333.37","342.09","88,869,850"
"05/16/2025","346.24","351.62","342.33","349.98","95,895,670"
"05/15/2025","340.34","346.1393","334.7153","342.82","97,882,600"
"05/14/2025","342.5","350","337","347.68","136,997,300"
"05/13/2025","320","337.5894","316.8","334.07","136,992,600"
"05/12/2025","321.99","322.21","311.5","318.38","112,826,700"
"05/09/2025","290.21","307.04","290","298.26","132,387,800"
"05/08/2025","279.63","289.8","279.41","284.82","97,539,450"
"05/07/2025","276.88","277.92","271","276.22","71,882,410"
"05/06/2025","273.105","277.73","271.35","275.35","76,715,790"
"05/05/2025","284.57","284.849","274.4","280.26","94,618,880"
"05/02/2025","284.9","294.78","279.81","287.21","114,454,700"
"05/01/2025","280.01","290.8688","279.81","280.52","99,658,970"
"04/30/2025","279.9","284.45","270.78","282.16","128,961,100"
"04/29/2025","285.5","293.32","279.4695","292.03","108,906,600"
"04/28/2025","288.98","294.86","272.42","285.88","151,731,800"
"04/25/2025","261.69","286.85","259.63","284.95","167,560,700"
"04/24/2025","250.5","259.54","249.2","259.51","94,464,200"
"04/23/2025","254.86","259.4499","244.43","250.74","150,381,900"
"04/22/2025","230.96","242.79","229.8501","237.97","120,858,500"
"04/21/2025","230.26","232.21","222.79","227.5","97,768,010"
"04/17/2025","243.47","244.34","237.6833","241.37","83,404,780"
"04/16/2025","247.61","251.97","233.89","241.55","112,378,700"
"04/15/2025","249.91","258.75","247.54","254.11","79,594,320"
"04/14/2025","258.36","261.8","245.93","252.35","100,135,200"
"04/11/2025","251.84","257.74","241.3629","252.31","128,948,100"
"04/10/2025","260","262.49","239.33","252.4","181,722,600"
"04/09/2025","224.69","274.69","223.88","272.2","219,433,400"
"04/08/2025","245","250.44","217.8","221.86","171,603,500"
"04/07/2025","223.78","252","214.25","233.29","183,453,800"
"04/04/2025","255.38","261","236","239.43","181,229,400"
"04/03/2025","265.29","276.3","261.51","267.28","136,174,300"
"04/02/2025","254.6","284.99","251.27","282.76","212,787,800"
"04/01/2025","263.8","277.45","259.25","268.46","146,486,900"
"03/31/2025","249.31","260.56","243.3601","259.16","134,008,900"
"03/28/2025","275.575","276.1","260.57","263.55","123,809,400"
"03/27/2025","272.48","291.85","271.8216","273.13","162,572,100"
"03/26/2025","282.66","284.9","266.51","272.06","156,254,400"
"03/25/2025","283.6","288.2","271.28","288.14","150,361,500"
"03/24/2025","258.075","278.64","256.33","278.39","169,079,900"
"03/21/2025","234.985","249.52","234.55","248.71","132,728,700"
"03/20/2025","233.345","238","230.0501","236.26","99,028,270"
"03/19/2025","231.61","241.41","229.201","235.86","111,993,800"
"03/18/2025","228.155","230.1","222.28","225.31","111,477,600"
"03/17/2025","245.055","245.4","232.8","238.01","111,900,600"
"03/14/2025","247.31","251.58","240.73","249.98","100,242,300"
"03/13/2025","248.125","248.29","232.6","240.68","114,813,500"
"03/12/2025","247.22","251.84","241.1","248.09","142,215,700"
"03/11/2025","225.305","237.0649","217.02","230.58","174,896,400"
"03/10/2025","252.535","253.37","220","222.15","189,076,900"
"03/07/2025","259.32","266.2499","250.73","262.67","102,369,600"
"03/06/2025","272.06","272.65","260.02","263.45","98,451,570"
"03/05/2025","272.92","279.55","267.71","279.1","94,042,910"
"03/04/2025","270.93","284.35","261.8401","272.04","126,706,600"
"03/03/2025","300.34","303.94","277.3","284.65","115,551,400"
"02/28/2025","279.5","293.88","273.6","292.98","115,697,000"
"02/27/2025","291.16","297.23","280.88","281.95","101,748,200"
"02/26/2025","303.715","309","288.04","290.8","100,118,300"
"02/25/2025","327.025","328.89","297.2512","302.8","134,228,800"
"02/24/2025","338.14","342.3973","324.7","330.53","76,052,320"
"02/21/2025","353.44","354.98","334.42","337.8","74,058,650"
"02/20/2025","361.51","362.3","348","354.4","45,965,350"
"02/19/2025","354","367.34","353.67","360.56","67,094,370"
"02/18/2025","355.01","359.1","350.02","354.11","51,631,700"
"02/14/2025","360.62","362","347.5","355.84","68,277,280"
"02/13/2025","345","358.69","342.85","355.94","89,441,520"
"02/12/2025","329.94","346.4","329.12","336.51","105,382,700"
"02/11/2025","345.8","349.37","325.1","328.5","118,543,400"
"02/10/2025","356.21","362.7","350.51","350.73","77,514,900"
"02/07/2025","370.19","380.5459","360.34","361.62","70,298,260"
"02/06/2025","373.03","375.4","363.18","374.32","77,918,230"
"02/05/2025","387.51","388.39","375.53","378.17","57,614,720"
"02/04/2025","382.63","394","381.4","392.21","57,072,240"
"02/03/2025","386.68","389.17","374.36","383.68","93,732,120"
"01/31/2025","401.53","419.99","401.34","404.6","83,568,220"
"01/30/2025","410.78","412.5","384.41","400.28","98,092,880"
"01/29/2025","395.21","398.5899","384.48","389.1","68,033,650"
"01/28/2025","396.91","400.59","386.5","398.09","48,910,680"
